metric,Baseline,DT_Assisted,DT_Disconnected
Caltech_avg_queue,51.0827,53.207,53.207
Caltech_avg_wait,929.7713,930.9697,930.9697
Caltech_peak_queue,126.67,154.92,154.92
Caltech_avg_util,0.9536,0.9184,0.9184
JPL_avg_queue,37.8187,31.8104,31.8104
JPL_avg_wait,738.2966,638.2063,638.2063
JPL_peak_queue,145.0,113.43,113.43
JPL_avg_util,0.7638,0.7912,0.7912
avg_waiting_time,834.034,784.588,784.588
avg_queue_length,88.9014,85.0175,85.0175
peak_queue_length,267.68,265.77,265.77
avg_utilization,0.8587,0.8548,0.8548
avg_load_imbalance,0.1955,0.1335,0.1335
max_load_imbalance,0.9333,0.8927,0.8927
